,Position,Value,Position_Size,Percentage,Position_Value,Position_purchase_price,Gain_relative,Gain_absolute,Item_ID,Lowest_Listing,Highest_Bid,Gain_since_last_update
0,Stockholm 2021 Contenders Sticker Capsule,6.94,519.0,5.7,3601.86,5.82,19.24,581.28,875837,6.94,6.6,-7.34
1,Stockholm 2021 Challengers Sticker Capsule,23.55,436.0,16.24,10267.8,13.82,70.41,4242.28,875971,23.55,23.0,1.95
2,Antwerp 2022 Contenders Autograph Capsule,1.26,3853.0,7.68,4854.78,1.26,0.0,0.0,894283,1.26,1.2,4.13
3,Stockholm 2021 Legends Sticker Capsule,3.8,699.0,4.2,2656.2,3.55,7.04,174.75,875864,3.8,3.7,-3.06
4,Sticker | rox (Holo) | Antwerp 2022,170.99,15.0,4.06,2564.85,177.36,-3.59,-95.55,895464,170.99,162.0,-1.73
5,Sticker | max (Holo) | Antwerp 2022,22.5,50.0,1.78,1125.0,23.1,-2.6,-30.0,895634,22.5,21.2,-0.88
6,Sticker | ropz (Holo) | Antwerp 2022,27.2,30.0,1.29,816.0,27.69,-1.77,-14.7,895431,27.2,27.0,-1.81
7,Sticker | FURIA (Holo) | Antwerp 2022,15.5,29.0,0.71,449.5,15.6,-0.64,-2.9,894182,15.5,15.2,-1.9
8,Sticker | Cloud9 (Holo) | Antwerp 2022,30.0,22.0,1.04,660.0,30.0,0.0,0.0,894316,30.0,29.6,-0.33
9,Sticker | Team Liquid (Holo) | Stockholm 2021,7.73,70.0,0.86,541.1,7.43,4.04,21.0,875982,7.73,7.3,-1.53
10,Sticker | MOUZ (Gold) | Stockholm 2021,779.67,1.0,1.23,779.67,570.0,36.78,209.67,876160,830.0,679.0,7.49
11,Sticker | Virtus.Pro (Holo) | Stockholm 2021,22.89,11.0,0.4,251.79,18.6,23.06,47.19,875980,22.89,22.8,-5.8
12,Sticker | Team Liquid (Holo) | Antwerp 2022,11.0,53.0,0.92,583.0,11.18,-1.61,-9.54,895343,11.0,10.5,1.85
13,Sticker | 9z Team (Holo) | Antwerp 2022,11.28,61.0,1.09,688.08,11.7,-3.59,-25.62,894383,11.28,10.7,5.42
14,Sticker | Entropiq (Holo) | Stockholm 2021,15.0,72.0,1.71,1080.0,12.87,16.55,153.36,875981,15.0,14.6,-1.96
15,Sticker | FURIA (Holo) | Stockholm 2021,15.06,31.0,0.74,466.86,14.5,3.86,17.36,875969,15.06,15.0,0.53
16,Sticker | MOUZ (Holo) | Stockholm 2021,80.79,15.0,1.92,1211.85,73.4,10.07,110.85,876070,80.79,78.0,-0.85
17,Sticker | paiN Gaming (Holo) | Stockholm 2021,28.0,48.0,2.13,1344.0,17.71,58.1,493.92,876123,28.0,27.0,-1.37
