,Date,Item_IDs,Quantities,Prices,Total_Order_Price,Order_ID
0,2022-12-07,871554.0,30.0,60.0,4232.6,1.0
1,2022-12-07,835504.0,25.0,31.0,4232.6,1.0
2,2022-12-07,875864.0,199.0,3.6,4232.6,1.0
3,2022-12-07,875981.0,19.0,12.8,4232.6,1.0
4,2022-12-07,880187.0,3.0,70.0,4232.6,1.0
5,2022-12-07,876123.0,10.0,18.0,4232.6,1.0
6,2022-12-07,876016.0,13.0,13.2,4232.6,1.0
7,2022-12-07,875837.0,19.0,5.6,4232.6,1.0
8,2022-12-07,894316.0,1.0,30.0,4232.6,1.0
9,2022-12-07,895464.0,7.0,175.48,6503.16,2.0
10,2022-12-07,894182.0,28.0,15.6,6503.16,2.0
11,2022-12-07,875981.0,46.0,12.9,6503.16,2.0
12,2022-12-07,875837.0,200.0,5.6,6503.16,2.0
13,2022-12-07,875837.0,100.0,5.5,6503.16,2.0
14,2022-12-07,875864.0,200.0,3.6,6503.16,2.0
15,2022-12-07,876123.0,28.0,17.6,6503.16,2.0
16,2022-12-07,876065.0,17.0,19.4,6503.16,2.0
17,2022-12-07,895363.0,6.0,58.0,6503.16,2.0
18,2022-12-07,894368.0,6.0,55.0,6503.16,2.0
19,2022-12-07,871554.0,6.0,59.0,6503.16,2.0
20,2022-12-07,875971.0,67.0,13.7,917.9,3.0
21,2022-12-07,895461.0,19.0,14.8,4001.6,4.0
22,2022-12-07,895380.0,10.0,28.4,4001.6,4.0
23,2022-12-07,875837.0,100.0,5.6,4001.6,4.0
24,2022-12-07,894283.0,100.0,1.2,4001.6,4.0
25,2022-12-07,875971.0,100.0,13.5,4001.6,4.0
26,2022-12-07,876034.0,41.0,20.4,4001.6,4.0
27,2022-12-07,876160.0,1.0,570.0,4001.6,4.0
28,2022-12-07,894141.0,32.0,15.9,1898.2,5.0
29,2022-12-07,894465.0,10.0,27.1,1898.2,5.0
30,2022-12-07,894280.0,28.0,11.7,1898.2,5.0
31,2022-12-07,894283.0,659.0,1.2,1898.2,5.0
32,2022-12-07,894318.0,16.0,21.7,347.2,6.0
33,2022-12-07,894316.0,21.0,30.0,630.0,7.0
34,2022-12-07,894283.0,100.0,1.2,120.0,8.0
35,2022-12-08,894283.0,95.0,1.19,113.05,9.0
36,2022-12-08,871474.0,5.0,52.1,260.5,10.0
37,2022-12-08,876016.0,14.0,13.0,1278.36,11.0
38,2022-12-08,894383.0,1.0,11.8,1278.36,11.0
39,2022-12-08,876070.0,3.0,71.0,1278.36,11.0
40,2022-12-08,894346.0,16.0,16.6,1278.36,11.0
41,2022-12-08,895431.0,16.0,27.4,1278.36,11.0
42,2022-12-08,894283.0,142.0,1.18,1278.36,11.0
43,2022-12-08,871554.0,4.0,54.0,5576.1,12.0
44,2022-12-08,895464.0,8.0,179.0,5576.1,12.0
45,2022-12-08,871726.0,20.0,20.4,5576.1,12.0
46,2022-12-08,871094.0,3.0,146.0,5576.1,12.0
47,2022-12-08,871692.0,12.0,35.2,5576.1,12.0
48,2022-12-08,875983.0,25.0,8.7,5576.1,12.0
49,2022-12-08,876043.0,32.0,14.0,5576.1,12.0
50,2022-12-08,875977.0,46.0,9.7,5576.1,12.0
51,2022-12-08,875982.0,57.0,7.3,5576.1,12.0
52,2022-12-08,895634.0,49.0,23.1,5576.1,12.0
53,2022-12-08,875971.0,88.0,14.2,1249.6,13.0
54,2022-12-09,894283.0,9.0,1.18,356.24,13.0
55,2022-12-09,876009.0,10.0,32.1,356.24,13.0
56,2022-12-09,895340.0,2.0,12.31,356.24,13.0
57,2022-12-13,895340.0,14.0,12.3,7622.8,13.0
58,2022-12-13,875864.0,200.0,3.5,7622.8,13.0
59,2022-12-13,875969.0,31.0,14.5,7622.8,13.0
60,2022-12-13,875971.0,81.0,13.7,7622.8,13.0
61,2022-12-13,875971.0,100.0,14.0,7622.8,13.0
62,2022-12-13,895431.0,11.0,28.1,7622.8,13.0
63,2022-12-13,894346.0,21.0,16.8,7622.8,13.0
64,2022-12-13,876070.0,12.0,74.0,7622.8,13.0
65,2022-12-13,876016.0,16.0,13.2,7622.8,13.0
66,2022-12-13,871643.0,3.0,94.0,7622.8,13.0
67,2022-12-13,876018.0,83.0,6.1,7622.8,13.0
68,2022-12-13,894383.0,60.0,11.7,7622.8,13.0
69,2022-12-13,895471.0,10.0,54.0,7622.8,13.0
70,2022-12-13,895431.0,3.0,27.69,530.56,13.0
71,2022-12-13,895634.0,1.0,23.1,530.56,13.0
72,2022-12-13,894280.0,10.0,11.7,530.56,13.0
73,2022-12-13,895340.0,2.0,12.3,530.56,13.0
74,2022-12-13,894182.0,1.0,15.6,530.56,13.0
75,2022-12-13,876123.0,10.0,17.71,530.56,13.0
76,2022-12-13,875981.0,7.0,12.87,530.56,13.0
77,2022-12-15,895471.0,10.0,55.7,557.0,13.0
78,2022-12-17,894283.0,473.0,1.2,567.6,13.0
79,2022-12-17,894283.0,250.0,1.2,918.6,13.0
80,2022-12-17,895343.0,30.0,11.1,918.6,13.0
81,2022-12-17,895343.0,16.0,11.35,918.6,13.0
82,2022-12-17,875982.0,13.0,8.0,918.6,13.0
83,2022-12-18,894283.0,500.0,1.2,1386.0,13.0
84,2022-12-18,894364.0,50.0,10.2,1386.0,13.0
85,2022-12-18,880187.0,4.0,69.0,1386.0,13.0
86,2022-12-18,875980.0,11.0,18.6,1409.4,13.0
87,2022-12-18,894283.0,1004.0,1.2,1409.4,13.0
88,2022-12-19,894283.0,59.0,5.5,742.2,13.0
89,2022-12-19,875864.0,100.0,3.4,742.2,13.0
90,2022-12-19,895343.0,7.0,11.1,742.2,13.0
91,2022-12-19,871692.0,14.0,36.39,1743.86,13.0
92,2022-12-19,875837.0,100.0,6.8,1743.86,13.0
93,2022-12-19,894283.0,462.0,1.2,1743.86,13.0
